itemname,iteminfo,itemprice
Mercedes-Benz C 350 C350 Elegance 2007,"99,536km, Sedan, 3498cc petrol engine, automatic","$12,500 "
Toyota Kluger 2.4S*On Sale* 2005,"77,887km, Station Wagon, 2400cc petrol engine, automatic","$8,990"
Honda Crossroad Black Beauty**HD Rev Camera** 2008,"112,100km, RV/SUV, 1800cc petrol engine, automatic","$9,700"
Toyota Fielder *NZ GPS/Rev Cam/Bluetooth/AUX* 2008,"84,000km, Station Wagon, 1500cc petrol engine, automatic","$7,700"
"Audi A4 1.8T AVANT 36,000Km 2009","36,000km, Station Wagon, 1800cc petrol engine, tiptronic","$17,990"
Honda Fit Jazz New Shape - from $43.49 wee... 2009,"46,000km, Hatchback, 1300cc petrol engine, automatic","$7,974"
Toyota Corolla Spacio 2007,"56,827km, Hatchback, 1500cc petrol engine, automatic","$10,995"
"Subaru Legacy 3.0R LIKE NEW! HEATED SEATS,... 2004","77,000km, Sedan, 2999cc petrol engine, automatic","$8,989"
Suzuki Grand Vitara WLTDAB $144pw* 2014,"32,470km, RV/SUV, 2400cc petrol engine, automatic","$26,990"
Kia Sorento Xs Crdi 2004,"120,641km, RV/SUV, 2497cc diesel engine, automatic","$9,800"
Subaru Forester X 2007,"302,706km, RV/SUV, 2457cc petrol engine, manual","$4,500"
Audi Q7 4.2 QUATTRO S-LINE 7 SEATER 2008,"94,000km, RV/SUV, 4200cc petrol engine, tiptronic","$27,990"
"Mazda Demio 1.5 Sport , 30,000 kms 2008","30,272km, Hatchback, 1498cc petrol engine, automatic","$9,750"
Mitsubishi Outlander 7 SEATS - from $48.01... 2007,"89,147km, RV/SUV, 2400cc petrol engine, automatic","$8,979"
BMW 320i M Sports Touring Wagon 2006,"71,693km, Station Wagon, 2000cc petrol engine, automatic","$8,990"
Toyota Avensis XI**New Shape** 2012,"99,167km, Station Wagon, 2000cc petrol engine, automatic","$12,800"
Toyota Mark-X 250G No Deposit Finance 2009,"40,200km, Sedan, 2499cc petrol engine, automatic","$9,990"
MINI Cooper S 2008,"117,057km, Hatchback, 1598cc petrol engine, automatic",
Nissan Tiida No Deposit Finance 2006,"84,500km, Hatchback, 1498cc petrol engine, automatic","$4,990"
Nissan Note No Deposit Finance 2006,"93,300km, Hatchback, 1490cc petrol engine, automatic","$3,990"
Mazda Axela LOW 82KMS SPECIAL! 2011,"82,500km, Sedan, 1500cc petrol engine, automatic","$11,840"
Mitsubishi Colt No Deposit Finance 2008,"87,800km, Hatchback, 1330cc petrol engine, automatic","$4,590"
Subaru Forester 4wd 2.0 Good tidy Wagon 2007,"125,432km, Station Wagon, 1994cc petrol engine, automatic","$6,450"
"Mazda Atenza SUPER SPECIAL,SPORTS WAGON 20... 2011","78,830km, Station Wagon, 1998cc petrol engine, automatic","$14,990"
Suzuki Swift stunning alloy wheel Grade 4 car 2009,"88,000km, Hatchback, 1245cc petrol engine, automatic",
Porsche Boxster 2.7 2004,"25,000km, Convertible, 2700cc petrol engine, tiptronic","$27,500 "
Subaru Legacy 2007,"88,347km, Station Wagon, 1990cc petrol engine, automatic","$7,950"
Jeep Grand Cherokee Limited 2014,"22,002km, RV/SUV, 2988cc diesel engine, automatic","$49,990"
Toyota Auris 1.8G S Pack Reversing Camera ... 2007,"89,500km, Hatchback, 1800cc petrol engine, automatic","$7,990"
Holden Commodore VF SS-V REDLINE 2015,"40,200km, Station Wagon, 5967cc petrol engine, automatic","$52,995"
Holden Commodore VF2 SS-V REDLINE 2017,"6,012km, Station Wagon, 6162cc petrol engine, automatic","$71,995"
Mercedes-Benz S 55 AMG 2005,"105,500km, Sedan, 5439cc petrol engine, automatic","$24,990"
BMW 550i 2007,"119,000km, Sedan, 4798cc petrol engine, automatic","$16,990 "
Dodge Ram 1500 4X4 LARAMIE 2004,"75,000km, Ute, 5700cc petrol engine, automatic","$49,999"
Toyota RAV4 Manual 2007,"105,923km, RV/SUV, 2362cc petrol engine, manual","$10,900"
Toyota Corolla 1993,"196,000km, Sedan, 1600cc petrol engine, automatic","$2,000 "
Mazda Verisa 2006,"102,000km, Hatchback, 1498cc petrol engine, automatic","$6,300 "
Honda City S 2012,"26,180km, Sedan, 1497cc petrol engine, automatic",
Toyota Land Cruiser Prado TX 2.7L 2015,"17,140km, RV/SUV, 2693cc petrol engine, automatic","$58,000 "
Suzuki Swift GlX NZ NEW 2014,"52,126km, Hatchback, 1372cc petrol engine, automatic","$14,990"
Toyota Prius 1.8 HYBRID ALLOYWHEELS 8 AIRBAGS 2011,"109,135km, Hatchback, 1797cc petrol engine, automatic","$11,490"
Subaru Impreza Alloywheels Spoiler Black trim 2006,"99,836km, Hatchback, 1490cc petrol engine, automatic","$6,490"
Mercedes-Benz GLE 250 d GLE 250d Gle-Class... 2017,"12,000km, RV/SUV, 2143cc diesel engine, automatic","$99,888"
Nissan Stagea RX350 LOW KM REVERSE CAMERA ... 2005,"87,238km, Station Wagon, 3498cc petrol engine, automatic","$7,990"
Nissan Cube 1.5 Camchain Alloywheels 2006,"82,300km, Hatchback, 1498cc petrol engine, automatic","$4,990"
Honda Odyssey ABSOLUTE 2.4 2006,"115,000km, RV/SUV, 2400cc petrol engine, automatic","$6,650"
Holden Rodeo Lt Crew Pu 2005,"317,690km, Ute, 2999cc diesel engine, automatic",
Volkswagen Touareg 3.6V6 2010,"132,790km, RV/SUV, 3594cc petrol engine, automatic",
Toyota Hilux SR5 4X2 D/Cab $123pw* 2003,"157,854km, Ute, 3000cc diesel engine, manual","$22,990"
Subaru Outback 2.5 Sport AWD Wagon 2014,"21,512km, Station Wagon, 2500cc petrol engine, tiptronic","$31,990"
Chevrolet Camaro SS 1968,"1,000km, Coupe, automatic","$145,000"
Holden Captiva LX-7 AWD NZ New 2010,"124,500km, RV/SUV, 3200cc petrol engine, automatic","$16,950"
Subaru Legacy 2005,"200,709km, Station Wagon, 1994cc petrol engine, automatic",
Volkswagen Amarok 4 Motion 4WD TDI NZ New 2014,"153,700km, Ute, 2000cc diesel engine, automatic","$33,950"
Subaru Legacy Wagon 2000,"178,367km, Station Wagon, 1994cc petrol engine, manual","$5,000 "
Ford Transit 12 SEATER BUS 2005,"209,781km, Van, 2500cc diesel engine, manual",
Chrysler 300 C Touring Srt8 2007,"179,000km, Station Wagon, 6100cc petrol engine, automatic",
Holden Commodore SSV Redline VF2 V8 Auto S... 2016,"2,000km, Sedan, 6162cc petrol engine, automatic","$72,999"
Honda Odyssey 1994,"236,523km, Station Wagon, 2156cc petrol engine, automatic","$2,499 "
Lexus RX 300 Harrier 1998,"143,000km, RV/SUV, 3000cc petrol engine, automatic",
Honda Stream RSZ Towbar 7 Seater 2007,"153,008km, Station Wagon, 2000cc petrol engine, automatic","$6,950"
Nissan March INCLUDES 12 MONTH WARRANTY 2012,"87,250km, Hatchback, 1190cc petrol engine, automatic",
Mazda MPV 2005,"152,339km, RV/SUV, 2260cc petrol engine, automatic",
Toyota Hilux Surf 1990,"280,000km, RV/SUV, 2700cc petrol engine, automatic",
Suzuki Swift Fabulous Condition 2008,"92,600km, Hatchback, 1242cc petrol engine, automatic",
Peugeot 206 2001,"165,211km, Hatchback, 1600cc petrol engine, manual",
Ford Territory Ghia 7 Seater 2010,"146,164km, RV/SUV, 3984cc petrol engine, automatic",
Volkswagen Golf Gti 2.0T 2011,"119,000km, Hatchback, 1984cc petrol engine, automatic",
Volkswagen Golf Gti 2007,"70,500km, Hatchback, 1984cc petrol engine, automatic",
Honda Logo 1997,"99,886km, Hatchback, 1300cc petrol engine, automatic",
Ford Falcon Ba Xr6t Pick Up Fa 2003,"175,000km, Ute, 3984cc petrol engine, automatic",
Subaru Impreza WRX V7 STi 2001,"100,430km, Sedan, 1994cc petrol engine, manual",
Toyota FunCargo 2004,"43,824km, Station Wagon, 1298cc petrol engine, automatic",
Mazda 2 Sport 2005,"57,801km, Hatchback, 1498cc petrol engine, automatic",
Nissan Navara 2009,"268,294km, Ute, 2488cc diesel engine, manual",
Mitsubishi Outlander G 4WD 5 SEATER 2006,"84,917km, RV/SUV, 2400cc petrol engine, automatic","$12,990"
Mazda Atenza SPORTS 23S 2005,"115,625km, Station Wagon, 2300cc petrol engine, automatic","$10,590"
Volkswagen Passat CC Tdi R 2012,"70,628km, Sedan, 1968cc diesel engine, automatic",
Toyota Auris 1.8G S Pack Reversing Camera ... 2007,"89,500km, Hatchback, 1800cc petrol engine, automatic","$7,990"
Holden Commodore VF SS-V REDLINE 2015,"40,200km, Station Wagon, 5967cc petrol engine, automatic","$52,995"
Holden Commodore VF2 SS-V REDLINE 2017,"6,012km, Station Wagon, 6162cc petrol engine, automatic","$71,995"
Mercedes-Benz S 55 AMG 2005,"105,500km, Sedan, 5439cc petrol engine, automatic","$24,990"
Mazda Demio 2006,"120,533km, Hatchback, 1348cc petrol engine, automatic",
BMW 550i 2007,"119,000km, Sedan, 4798cc petrol engine, automatic","$16,990 "
Dodge Ram 1500 4X4 LARAMIE 2004,"75,000km, Ute, 5700cc petrol engine, automatic","$49,999"
Toyota RAV4 Manual 2007,"105,923km, RV/SUV, 2362cc petrol engine, manual","$10,900"
Toyota Corolla 1993,"196,000km, Sedan, 1600cc petrol engine, automatic","$2,000 "
Mazda Verisa 2006,"102,000km, Hatchback, 1498cc petrol engine, automatic","$6,300 "
Toyota Land Cruiser Prado TX 2.7L 2015,"17,140km, RV/SUV, 2693cc petrol engine, automatic","$58,000 "
Suzuki Swift GlX NZ NEW 2014,"52,126km, Hatchback, 1372cc petrol engine, automatic","$14,990"
Honda Civic 1.5L Spoiler CD USB AUX IN NEW... 1995,"192,023km, Sedan, 1490cc petrol engine, automatic","$2,500"
Toyota Prius 1.8 HYBRID ALLOYWHEELS 8 AIRBAGS 2011,"109,135km, Hatchback, 1797cc petrol engine, automatic","$11,490"
Subaru Impreza Alloywheels Spoiler Black trim 2006,"99,836km, Hatchback, 1490cc petrol engine, automatic","$6,490"
Mercedes-Benz GLE 250 d GLE 250d Gle-Class... 2017,"12,000km, RV/SUV, 2143cc diesel engine, automatic","$99,888"
Nissan Stagea RX350 LOW KM REVERSE CAMERA ... 2005,"87,238km, Station Wagon, 3498cc petrol engine, automatic","$7,990"
Nissan Cube 1.5 Camchain Alloywheels 2006,"82,300km, Hatchback, 1498cc petrol engine, automatic","$4,990"
Honda Odyssey ABSOLUTE 2.4 2006,"115,000km, RV/SUV, 2400cc petrol engine, automatic","$6,650"
Toyota Hilux SR5 4X2 D/Cab $123pw* 2003,"157,854km, Ute, 3000cc diesel engine, manual","$22,990"
Subaru Outback 2.5 Sport AWD Wagon 2014,"21,512km, Station Wagon, 2500cc petrol engine, tiptronic","$31,990"
Chevrolet Camaro SS 1968,"1,000km, Coupe, automatic","$145,000"
Holden Captiva LX-7 AWD NZ New 2010,"124,500km, RV/SUV, 3200cc petrol engine, automatic","$16,950"
Volkswagen Amarok 4 Motion 4WD TDI NZ New 2014,"153,700km, Ute, 2000cc diesel engine, automatic","$33,950"
Mercedes-Benz E 550 The ultimate E550 Avant G 2007,"73,616km, Sedan, 5460cc petrol engine, automatic",
Holden Commodore SSV Redline VF2 V8 Auto S... 2016,"2,000km, Sedan, 6162cc petrol engine, automatic","$72,999"
Mazda RX-8 Automatic 2004,"55,110km, Coupe, 1308cc petrol engine, automatic",
Subaru WRX STI 2000,"172,195km, Station Wagon, 1994cc petrol engine, manual",
Toyota Hilux 1991,"227,395km, Ute, 4000cc petrol engine, manual",
Mitsubishi Lancer Vr 2007,"104,462km, Sedan, 1998cc petrol engine, automatic",
Isuzu D-Max LS 2008,"82,500km, Ute, 3000cc diesel engine, manual",
Honda Odyssey 1994,"236,523km, Station Wagon, 2156cc petrol engine, automatic","$2,499 "
Audi A4 Avant 2.0 S-Line facelift model 2008,"186,876km, Station Wagon, 1984cc petrol engine, tiptronic",
Nissan Terrano Regulus 1996,"77,000km, Other, 3cc petrol engine, automatic",
Hyundai Elantra 2011,"94,000km, Sedan, 1797cc petrol engine, automatic",
Suzuki APV 2007,"155,515km, Van, 1590cc petrol engine, manual",
Honda Fit 2005,"84,510km, Hatchback, 1339cc petrol engine, automatic",
Mercedes-Benz C 200 AMG 1995,"205,283km, Sedan, 2000cc petrol engine, automatic",
Toyota Levin BZR 1998,"237,799km, Sedan, 1587cc petrol engine, manual",
Nissan Primera 1999,"23,037km, Station Wagon, 2000cc petrol engine, automatic",
Volkswagen Passat 3.2 V6 4Motion 2007,"18,031km, Sedan, 3189cc petrol engine, automatic",
Audi A4 Multitronic 2004,"168,623km, Sedan, 2393cc petrol engine, automatic",
Honda Stream RSZ Towbar 7 Seater 2007,"153,008km, Station Wagon, 2000cc petrol engine, automatic","$6,950"
Mercedes-Benz C 200 Kompressor 2008,"22,620km, Sedan, 1800cc petrol engine, automatic",
Toyota Hilux Td Dc 2009,"206,000km, Ute, 2982cc diesel engine, manual",
Honda Civic Lxi 1996,"283,511km, Sedan, 1600cc petrol engine, automatic",
Toyota Hiace 2007,"276,000km, Van, 2500cc, manual",
Mazda RX-8 Sport 2003,"72,000km, Coupe, 1308cc petrol engine, tiptronic",
Audi A4 S-Line Tdi Cvt 2013,"86,000km, Station Wagon, 1968cc diesel engine",
BMW 530i 54000KM HIGHLINE 2004,"54,440km, Sedan, 2970cc petrol engine, automatic",
Toyota Hilux Surf Ssrx 1996,"237,194km, RV/SUV, 2982cc diesel engine",
Audi SQ5 NZ New Bi turbo diesel SQ5 23Okw 2015,"49,000km, RV/SUV, 2967cc diesel engine, automatic",
Toyota Avensis Wagon 2004,"93,700km, Station Wagon, 1998cc petrol engine, automatic",
MINI Cooper 2003,"103,568km, Hatchback, 1590cc petrol engine, tiptronic",
Toyota Alphard HYBRID / 4WD 2015,"19,100km, Van, 2500cc, automatic",
Mazda Atenza 25S Station Wagon 2009,"105,000km, Station Wagon, 2500cc petrol engine, automatic",
Audi A4 1.8 TFSI 2008,"120,000km, Station Wagon, 1800cc petrol engine, automatic",
Toyota Yaris 1.3 2007,"137,217km, Hatchback, 1298cc petrol engine, manual",
Holden Commodore Acclaim 7 Seater 2002,"240,000km, Station Wagon, 3791cc petrol engine, automatic",
Alfa Romeo GTV 2000 1975,"69,217km, Coupe, 2000cc petrol engine, manual",
Mitsubishi L300 GARAGE PROJECT Van 2005,"190,000km, Van, 2500cc diesel engine, manual",
Toyota Hilux Surf 1996,"171,759km, Station Wagon, 2693cc petrol engine",
Mitsubishi Outlander G 4WD 5 SEATER 2006,"84,917km, RV/SUV, 2400cc petrol engine, automatic","$12,990"
Mazda Atenza SPORTS 23S 2005,"115,625km, Station Wagon, 2300cc petrol engine, automatic","$10,590"
BMW 323i Leather*Sun blind*Highline 2007,"45,112km, Sedan, 2500cc, automatic",
Toyota Corolla Runx 2005,"87,000km, Hatchback, 1496cc petrol engine, automatic",
BMW 335i Cabrio 2008,"105,000km, Convertible, 2979cc petrol engine, automatic","$21,000 "
Mazda Atenza 2003,"180,297km, Station Wagon, 2260cc petrol engine, manual","$7,500 "
Nissan Mistral 7 seater 1996,"152,000km, RV/SUV, 2660cc diesel engine, automatic","$6,200"
Audi A6 3.2 quattro 2005,"99,000km, Sedan, 3120cc petrol engine, automatic","$11,000"
BMW 323i 323I 2005,"78,000km, Sedan, 2496cc petrol engine, automatic","$15,990"
Toyota RAV4 Rav 4 Limited 2010,"208,874km, RV/SUV, 2400cc petrol engine, automatic","$9,995"
Honda Civic Ferio 1996,"228,534km, Sedan, 1490cc petrol engine, automatic","$2,000 "
Holden Commodore Vf Sv6 2013,"57,500km, Sedan, 3564cc petrol engine, automatic","$26,900 "
Lexus RX 400h RX400h Hybrid 2006,"72,800km, RV/SUV, 3311cc hybrid engine, automatic","$19,990 "
Toyota FJ Cruiser Cruiser Suv 2011,"66,440km, RV/SUV, 3956cc petrol engine, automatic","$38,000"
"Mazda Demio 32,000KM 1.5 MANUAL 2008","32,000km, Hatchback, 1500cc petrol engine, manual","$8,999"
Mazda Atenza 25EX (Mazda 6) Top Spec 2012,"110,000km, Sedan, 2500cc petrol engine, tiptronic","$12,950"
Subaru Forester Sti 2005,"180,000km, RV/SUV, 2457cc petrol engine, manual","$7,000 "
Ford Transit Lwb Mroof 2010,"211,000km, Van, 2399cc diesel engine, manual","$17,500"
Isuzu Bighorn 3.1D Intercooler 1994,"338,900km, Station Wagon, 3059cc diesel engine","$3,500 "
Toyota Land Cruiser Prado Landcruiser Rx 1996,"206,866km, Station Wagon, 2980cc diesel engine, automatic","$13,000 "
Mazda Axela 2004,"108,000km, Sedan, automatic","$6,500 "
Honda Fit 2005,"68,376km, Hatchback, 1339cc petrol engine, automatic","$5,370"
Mazda Atenza 25S SPORTS 2010,"164,000km, Hatchback, 2500cc petrol engine, automatic","$11,950"
Land Rover Range Rover Dse 2002,"227,642km, RV/SUV, 2497cc diesel engine, automatic","$8,000 "
"Toyota Prius PHV PLUG-IN HYBRID, AS NEW 9,... 2014","9,300km, Hatchback, 1800cc hybrid engine, automatic","$29,990"
Ford Ranger Td Xlt Sup W/S 2010,"237,073km, Ute, 2953cc diesel engine, manual","$24,000 "
Honda Accord Euro 2006,"133,000km, Sedan, 2354cc petrol engine, automatic","$6,499 "
Nissan Navara Long way down 2008,"230,000km, Ute, 2500cc diesel engine, manual","$19,000 "
Toyota Vellfire Alphard 8 Seaters 9 Airbags 2013,"70,000km, Van, 2400cc petrol engine, automatic","$32,950"
Ford Ranger Xlt Double Cab W/S A 2016,"38,000km, Ute, 3198cc diesel engine, automatic",
Ford Falcon XR6 4.0 BA 4DR AUTOMATIC 2004,"129,400km, Sedan, 3984cc petrol engine, automatic","$8,890"
Kia Sportage 2008,"96,931km, RV/SUV, 1975cc petrol engine, automatic",
Nissan 200SX Spts Coupe 2002,"108,130km, Coupe, 1998cc petrol engine, manual",
Mazda 2 SPORT 1.5 MANUAL NZ NEW 2012,"28,088km, Hatchback, 1498cc, manual","$14,990"
Ford Fiesta LX HATCH 2017,"< 1000km, Hatchback, 1498cc, automatic","$18,990"
Land Rover Range Rover Sport sdv6 2014,"49,000km, RV/SUV, diesel engine, automatic","$105,000 "
Holden Commodore Berlina 1988,"213,000km, Sedan, 5000cc petrol engine, automatic","$25,000 "
Holden Commodore VZ Exec 2006,"292,278km, Sedan, 3565cc petrol engine, automatic","$4,995"
Subaru Legacy 2010,"134,614km, Station Wagon, 2457cc petrol engine","$10,900"
Subaru Legacy 2007,"302,000km, Sedan, 2cc petrol engine, automatic",
Audi Q7 Tdi Quattro Tip 2009,"139,104km, RV/SUV, 4134cc diesel engine, automatic","$52,995"
Nissan Murano Xtronic TI 2011,"89,400km, RV/SUV, 3494cc petrol engine, automatic","$20,500 "
Toyota Hiace Van 2004,"255,264km, Van, 1998cc petrol engine, manual",
Toyota Ractis 2008,"74,500km, Hatchback, 1496cc petrol engine, automatic",
Mazda Demio 2008,"45,400km, Hatchback, 1300cc petrol engine, automatic","$7,600"
Holden HSV GTS E3 Manual Phantom Black 2011,"46,510km, Sedan, 6162cc petrol engine, manual","$60,000"
Mitsubishi ASX Xls 2017,"13,500km, RV/SUV, 2268cc diesel engine, automatic","$28,500"
Nissan Juke 15RX 2011,"64,000km, RV/SUV, 1500cc petrol engine, automatic","$12,995"
Nissan Skyline **Rev Cam/Push Start** 2008,"76,310km, Sedan, 2500cc petrol engine, automatic","$11,995"
Mitsubishi Galant 2003,"155,000km, Sedan, 1990cc petrol engine, tiptronic","$3,200"
Land Rover Discovery Es V8i 2001,"79,445km, RV/SUV, 3950cc petrol engine, automatic","$7,500 "
Toyota Hiace 6 SEATER VAN 2010,"161,358km, Van, 1998cc petrol engine, automatic","$15,995"
Toyota Prius **Rev Cam/Push Start** 2012,"111,500km, Hatchback, 1800cc petrol engine, automatic","$11,995"
Toyota Land Cruiser 70 Series 4 Door 2013,"140,000km, Other, 4500cc diesel engine, manual","$55,000"
Mazda BT-50 GLX 2016,"22,000km, Ute, 3cc diesel engine, manual","$38,000 "
BMW 320i 2006,"81,000km, Sedan, 2000cc petrol engine, automatic","$9,650"
Toyota Runx Allex No Deposit Finance 2006,"79,200km, Hatchback, 1490cc petrol engine, automatic","$5,990"
Honda Fit New Model No Deposit Finance 2008,"81,200km, Hatchback, 1330cc petrol engine, automatic","$4,990"
Nissan Cube Low Km No Deposit Finance 2004,"34,000km, Hatchback, 1380cc petrol engine, automatic","$3,990"
Subaru Legacy GT 2002,"148,052km, Station Wagon, 1994cc petrol engine, automatic","$6,500 "
Ford Kuga Titanium 2012,"81,500km, RV/SUV, 2522cc petrol engine, automatic","$19,500"
Mazda Verisa **STYLISH V** 2008,"82,000km, Hatchback, 1500cc petrol engine, automatic","$7,450"
Nissan Skyline **Rev Cam/250GT TYPE V** 2008,"69,000km, Sedan, 2500cc petrol engine, automatic","$11,995"
"Mazda 3 GLX AUTO HATCH, NZ NEW 2016","39,980km, Hatchback, 1998cc petrol engine, automatic","$21,995"
Toyota Corolla GX DECEMBER 2010,"38,200km, Hatchback, 1798cc petrol engine, automatic","$14,995"
Honda Accord V6 NT 2013,"32,680km, Sedan, 3471cc petrol engine, automatic","$31,500"
Toyota Cynos Convertible 1997,"130,100km, Convertible, 1331cc petrol engine, automatic",
Mitsubishi Pajero 1989,"301,000km, Station Wagon, 3000cc petrol engine, automatic","$4,500 "
Mercedes-Benz A 200 Turbo 2005,"149,314km, Hatchback, 2034cc petrol engine, automatic",
Ford Falcon Bf Futura W Fa 2006,"171,123km, Station Wagon, 3984cc petrol engine, automatic",
Mazda Demio 2006,"120,533km, Hatchback, 1348cc petrol engine, automatic",
BMW 318ti 2003,"157,000km, Hatchback, petrol engine, tiptronic","$4,700"
Nissan Navara 2007,"265,783km, Ute, 2488cc diesel engine, manual","$20,000 "
Mercedes-Benz E 550 The ultimate E550 Avant G 2007,"73,616km, Sedan, 5460cc petrol engine, automatic",
Mazda RX-8 Automatic 2004,"55,110km, Coupe, 1308cc petrol engine, automatic",
Subaru WRX STI 2000,"172,195km, Station Wagon, 1994cc petrol engine, manual",
Toyota Hilux 1991,"227,395km, Ute, 4000cc petrol engine, manual",
Mitsubishi Lancer Vr 2007,"104,462km, Sedan, 1998cc petrol engine, automatic",
Isuzu D-Max LS 2008,"82,500km, Ute, 3000cc diesel engine, manual",
